Date,Open,High,Low,Close
1993-05-10 00:00:00,1.24131,1.24131,1.23771,1.23771
1993-05-11 00:00:00,1.23771,1.23771,1.23541,1.23541
1993-05-12 00:00:00,1.23541,1.23541,1.22261,1.22261
1993-05-13 00:00:00,1.22261,1.23461,1.22261,1.23461
1993-05-14 00:00:00,1.23461,1.23461,1.22651,1.22651
1993-05-17 00:00:00,1.22651,1.22651,1.22041,1.22041
1993-05-18 00:00:00,1.22041,1.22271,1.22041,1.22271
1993-05-19 00:00:00,1.22271,1.23151,1.22271,1.23151
1993-05-20 00:00:00,1.23151,1.23151,1.22251,1.22251
1993-05-21 00:00:00,1.22251,1.22251,1.21511,1.21511
1993-05-24 00:00:00,1.21511,1.2210100000000002,1.21511,1.2210100000000002
1993-05-25 00:00:00,1.2210100000000002,1.2210100000000002,1.2149100000000002,1.2149100000000002
1993-05-26 00:00:00,1.2149100000000002,1.22591,1.2149100000000002,1.22591
1993-05-27 00:00:00,1.22591,1.24331,1.22591,1.24331
1993-05-28 00:00:00,1.24331,1.24331,1.24001,1.24001
1993-06-01 00:00:00,1.24001,1.24001,1.23801,1.23801
1993-06-02 00:00:00,1.23801,1.23801,1.23621,1.23621
1993-06-03 00:00:00,1.23621,1.23621,1.21711,1.21711
1993-06-04 00:00:00,1.21711,1.22381,1.21711,1.22381
1993-06-07 00:00:00,1.22381,1.22381,1.22281,1.22281
1993-06-08 00:00:00,1.22281,1.22281,1.21411,1.21411
1993-06-09 00:00:00,1.21411,1.21571,1.21411,1.21571
1993-06-10 00:00:00,1.21571,1.22421,1.21571,1.22421
1993-06-11 00:00:00,1.22421,1.22421,1.22191,1.22191
1993-06-14 00:00:00,1.22191,1.22191,1.21201,1.21201
1993-06-15 00:00:00,1.21201,1.21201,1.19801,1.19801
1993-06-16 00:00:00,1.19801,1.19951,1.19801,1.19951
1993-06-17 00:00:00,1.19951,1.19951,1.18331,1.18331
1993-06-18 00:00:00,1.18331,1.18331,1.17841,1.17841
1993-06-21 00:00:00,1.17841,1.17841,1.17391,1.17391
